,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50,agent_51,agent_52,agent_53,agent_54,agent_55,agent_56,agent_57,agent_58,agent_59,agent_60,agent_61,agent_62,agent_63,agent_64,agent_65,agent_66,agent_67,agent_68,agent_69,agent_70,agent_71,agent_72,agent_73,agent_74,agent_75,agent_76,agent_77,agent_78,agent_79,agent_80,agent_81,agent_82,agent_83,agent_84,agent_85,agent_86,agent_87,agent_88,agent_89,agent_90,agent_91,agent_92,agent_93,agent_94,agent_95,agent_96,agent_97,agent_98,agent_99
221,16,18,18,18,11,19,15,24,15,20,16,16,14,12,18,16,19,18,20,20,17,16,11,13,16,18,17,17,17,15,18,18,15,14,20,22,19,19,16,15,12,14,16,17,14,18,17,18,15,18,14,13,15,19,16,16,17,17,16,20,11,18,18,17,16,18,18,17,15,19,15,16,18,15,15,14,13,12,10,13,16,13,14,12,14,20,12,14,15,15,16,19,16,19,17,19,16,19,14,14
222,15,11,15,14,15,13,13,16,11,16,14,15,15,12,12,18,9,14,17,20,22,11,15,16,15,13,21,14,12,18,15,17,16,18,15,18,13,18,16,17,12,17,17,14,15,19,13,18,13,20,16,14,15,13,16,15,15,11,15,12,19,15,17,15,12,14,17,14,18,14,17,17,18,20,14,15,12,16,16,21,13,14,16,14,14,14,13,17,17,20,14,16,15,14,19,15,16,13,15,15
223,22,16,21,16,18,20,20,22,21,17,18,16,22,17,19,18,20,16,21,19,15,21,19,16,19,18,23,22,19,23,22,21,20,18,14,21,19,23,18,17,20,20,17,18,20,21,19,21,24,24,23,18,23,17,20,19,19,17,18,19,18,18,20,24,20,23,16,20,21,23,20,19,21,18,20,20,21,23,22,17,19,20,21,20,19,19,16,19,21,23,23,19,21,23,18,21,17,24,26,20
224,18,22,24,24,18,19,19,21,21,18,22,21,21,15,17,21,19,20,18,16,19,22,22,18,19,19,21,26,18,21,21,18,19,19,18,18,20,21,20,20,18,18,21,19,20,19,18,24,24,22,17,19,18,21,22,18,15,19,21,20,18,23,19,20,19,23,21,22,25,22,21,18,22,19,23,18,19,24,20,15,21,22,20,23,21,19,17,25,23,13,18,16,19,17,21,19,14,22,19,19
225,23,21,18,20,18,14,14,23,17,18,19,23,18,22,16,18,19,20,21,23,15,19,22,20,21,16,19,21,21,20,18,19,16,21,20,17,24,23,20,22,16,20,22,17,23,20,16,21,21,20,18,21,22,22,18,19,20,21,23,21,21,22,20,18,22,22,16,18,15,17,18,20,25,22,20,19,15,17,21,15,20,18,20,21,23,21,20,20,22,18,20,22,16,20,22,21,15,19,21,16
226,19,20,17,18,20,20,16,22,21,17,23,20,20,18,18,16,16,22,13,21,16,24,19,13,17,16,21,24,17,23,22,16,20,22,16,18,22,22,17,22,23,18,20,17,19,18,19,20,17,18,19,20,20,16,23,19,13,23,18,22,19,18,23,22,19,22,17,21,22,23,19,22,22,22,20,20,16,21,21,17,21,16,20,23,19,18,17,21,23,21,20,21,21,21,18,19,18,19,20,18
227,15,16,17,19,19,21,21,19,15,16,23,16,23,18,16,20,22,25,18,23,19,20,20,24,21,16,16,19,18,19,22,20,17,19,19,22,15,20,23,20,21,20,18,22,15,18,19,21,19,18,20,20,21,18,22,20,18,21,18,17,19,19,21,24,20,19,17,19,19,19,23,18,23,14,18,20,19,19,20,17,19,19,17,20,21,23,17,19,24,22,16,20,22,25,17,20,17,23,22,19
228,21,21,21,16,21,19,23,19,22,17,20,19,23,20,21,16,20,22,18,19,20,23,21,18,20,20,24,20,21,26,25,20,23,19,21,20,20,21,20,22,19,20,21,22,23,23,18,23,19,22,19,19,17,18,23,21,21,26,23,26,19,18,18,19,23,20,17,23,25,20,20,24,21,18,22,21,24,24,19,20,25,17,22,23,21,16,21,23,24,21,23,22,21,22,21,22,18,22,21,20
229,23,20,21,24,19,19,18,22,20,20,22,21,19,22,16,21,17,22,18,21,18,24,20,18,21,17,25,23,18,27,18,16,21,24,20,25,23,21,17,17,17,17,21,19,18,24,18,23,21,25,16,22,22,20,17,21,21,21,20,23,17,20,20,22,20,23,19,22,21,18,20,23,23,21,19,17,22,19,20,17,22,23,21,18,24,18,19,29,22,21,20,26,20,22,24,21,20,26,23,22
230,18,20,22,21,18,17,21,22,16,22,25,19,21,21,16,21,17,21,21,24,16,24,23,20,21,20,19,23,17,23,20,22,23,21,18,21,19,24,21,22,22,19,25,18,20,23,20,23,23,23,18,22,23,19,22,22,18,19,22,25,18,19,23,21,23,21,16,21,22,21,22,22,24,21,23,20,20,20,19,18,19,20,19,19,22,22,19,24,23,21,17,20,17,22,24,23,17,23,21,17
